doc_label,doc_content
doyle-0-22,light dim heavy writing desk squatted middle
doyle-0-22,behind structure came impression pale plumpness frock coat
doyle-0-22,great man
doyle-0-22,five feet six judge grip handle end ever many millions
doyle-0-22,shook hands fancy murmured vaguely satisfied french
doyle-0-22,bon voyage
doyle-0-23,forty five seconds found waiting room compassionate secretary full desolation sympathy made sign document
doyle-0-23,believe undertook amongst things disclose trade secrets
doyle-0-23,well going
doyle-0-24,began feel slightly uneasy
doyle-0-24,know used ceremonies something ominous atmosphere
doyle-0-24,though let conspiracy n't know something quite right glad get
doyle-0-24,outer room two women knitted black wool feverishly
doyle-0-24,people arriving younger one walking back forth introducing
doyle-0-24,old one sat chair
doyle-0-24,flat cloth slippers propped foot warmer cat reposed lap
doyle-0-24,wore starched white affair head wart one cheek silver rimmed spectacles hung tip nose
doyle-0-24,glanced glasses
doyle-0-24,swift indifferent placidity look troubled
doyle-0-24,two youths foolish cheery countenances piloted threw quick glance unconcerned wisdom
doyle-0-24,seemed know
doyle-0-24,eerie feeling came
doyle-0-24,seemed uncanny fateful
doyle-0-24,often far away thought two guarding door darkness knitting black wool warm pall one introducing introducing continuously unknown scrutinizing cheery foolish faces unconcerned old eyes
doyle-0-24,ave old knitter black wool
doyle-0-24,morituri te salutant
doyle-0-24,many looked ever saw half long way
doyle-0-25,yet visit doctor
doyle-0-25,simple formality assured secretary air taking immense part sorrows
doyle-0-25,accordingly young chap wearing hat left eyebrow clerk suppose must clerks business though house still house city dead came somewhere stairs led forth
doyle-0-25,shabby careless inkstains sleeves jacket cravat large billowy chin shaped like toe old boot
doyle-0-25,little early doctor proposed drink thereupon developed vein joviality
doyle-0-25,sat vermouths glorified company 's business expressed casually surprise going
doyle-0-25,became cool collected
doyle-0-25,fool look quoth plato disciples sententiously emptied glass great resolution rose
doyle-0-26,old doctor felt pulse evidently thinking something else
doyle-0-26,'good good mumbled certain eagerness asked whether would let measure head
doyle-0-26,rather surprised yes produced thing like calipers got dimensions back front every way taking notes carefully
doyle-0-26,unshaven little man threadbare coat like gaberdine feet slippers thought harmless fool
doyle-0-26,always ask leave interests science measure crania going
doyle-0-26,'and come back
doyle-0-26,asked
doyle-0-26,'oh never see remarked 'and moreover changes take place inside know
doyle-0-26,smiled quiet joke
doyle-0-26,'so going
doyle-0-26,famous
doyle-0-26,interesting
doyle-0-26,gave searching glance made another note
doyle-0-26,'ever madness family
doyle-0-26,asked matter fact tone
doyle-0-26,felt annoyed
doyle-0-26,'is question interests science
doyle-0-26,'it would without taking notice irritation 'interesting science watch mental changes individuals spot 'are alienist
doyle-0-26,interrupted
doyle-0-26,'every doctor little answered original imperturbably
doyle-0-26,little theory messieurs go must help prove
doyle-0-26,share advantages country shall reap possession magnificent dependency
doyle-0-26,mere wealth leave others
doyle-0-26,pardon questions first englishman coming observation hastened assure least typical
doyle-0-26,'if would n't talking like
doyle-0-26,'what say rather profound probably erroneous laugh
doyle-0-26,'avoid irritation exposure sun
doyle-0-26,adieu
doyle-0-26,english say eh
doyle-0-26,good bye
doyle-0-26,ah
doyle-0-26,good bye
doyle-0-26,adieu
doyle-0-26,tropics one must everything keep calm
doyle-0-26,lifted warning forefinger 'du calme du calme
doyle-0-27,one thing remained say good bye excellent aunt
doyle-0-27,found triumphant
