doc_label,doc_content
doyle-3-28,ev n fall o'er broken bridge passing stray marshes false lights beguiled still father promise blessing take bosom poor orphan child
doyle-3-29,thought strength avail though shelter kindred despoiled heaven home rest fail god friend poor orphan child
doyle-3-30,come miss jane n't cry bessie finished
doyle-3-30,might well fire n't burn
doyle-3-30,divine morbid suffering prey
doyle-3-30,course morning lloyd came
doyle-3-31,already
doyle-3-31,entered nursery
doyle-3-31,well nurse
doyle-3-32,bessie answered well
doyle-3-33,ought look cheerful
doyle-3-33,come miss jane name jane
doyle-3-34,yes sir jane eyre
doyle-3-35,well crying miss jane eyre tell
doyle-3-35,pain
doyle-3-36,sir
doyle-3-37,oh
doyle-3-37,daresay crying go missis carriage interposed bessie
doyle-3-38,surely
doyle-3-38,old pettishness
doyle-3-39,thought self esteem wounded false charge answered promptly never cried thing life hate going carriage
doyle-3-39,cry miserable
doyle-3-40,oh fie miss
doyle-3-40,bessie
doyle-3-41,good apothecary appeared little puzzled
doyle-3-41,standing fixed eyes steadily eyes small grey bright dare say think shrewd hard featured good natured looking face
doyle-3-41,considered leisure
doyle-3-42,made ill yesterday
doyle-3-43,fall bessie putting word
doyle-3-44,fall
doyle-3-44,baby
doyle-3-44,ca n't manage walk age
doyle-3-44,must eight nine years old
doyle-3-45,knocked blunt explanation jerked another pang mortified pride make ill added lloyd helped pinch snuff
doyle-3-46,returning box waistcoat pocket loud bell rang servants dinner knew
doyle-3-46,'s nurse go 'll give miss jane lecture till come back
doyle-3-47,bessie rather stayed obliged go punctuality meals rigidly enforced gateshead hall
doyle-3-48,fall make ill
doyle-3-48,pursued lloyd bessie gone
doyle-3-49,shut room ghost till dark
doyle-3-50,saw lloyd smile frown
doyle-3-51,ghost
doyle-3-51,baby
doyle-3-51,afraid ghosts
doyle-3-52,reed 's ghost died room laid
doyle-3-52,neither bessie else go night help cruel shut alone without candle cruel think shall never forget
doyle-3-53,nonsense
doyle-3-53,makes miserable
doyle-3-53,afraid daylight
doyle-3-54,night come long besides unhappy unhappy things
doyle-3-55,things
doyle-3-55,tell
doyle-3-56,much wished reply fully question
doyle-3-56,difficult frame answer
doyle-3-56,children feel analyse feelings analysis partially effected thought know express result process words
doyle-3-56,fearful however losing first opportunity relieving grief imparting disturbed pause contrived frame meagre though went true response
doyle-3-57,thing father mother brothers sisters
doyle-3-58,kind aunt cousins
doyle-3-59,paused bunglingly enounced
doyle-3-60,john reed knocked aunt shut red room
doyle-3-61,lloyd second produced snuff box
doyle-3-62,n't think gateshead hall beautiful house
doyle-3-62,asked
doyle-3-62,thankful fine place live
doyle-3-63,house sir abbot says less right servant
doyle-3-64,pooh
doyle-3-64,ca n't silly enough wish leave splendid place
